epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.79333,3.20646,4.46359,1.29377,0.00336,0.25871,0.00423,0.00101,1.86883,3.92978,0.88653,0.00023338,0.00023338,0.00023338
2,11.225,1.82212,2.33124,0.87509,0.01007,0.85866,0.03483,0.01686,1.31205,3.34137,0.83796,0.000473858,0.000473858,0.000473858
3,14.6609,1.49769,1.53943,0.83876,0.01145,0.99658,0.50465,0.345,1.12269,2.59107,0.82073,0.000704434,0.000704434,0.000704434
4,17.9171,1.42475,1.22441,0.82823,1,0.10067,0.88019,0.5853,1.20421,2.17478,0.82445,0.000925108,0.000925108,0.000925108
5,20.918,1.32043,1.03914,0.83422,1,0.41684,0.96724,0.63984,1.15282,1.83637,0.82209,0.00113588,0.00113588,0.00113588
6,23.8656,1.27247,0.9362,0.8231,0.99539,0.67778,0.96352,0.69764,0.98818,1.63148,0.81707,0.00133675,0.00133675,0.00133675
7,26.9318,1.17749,0.86146,0.80623,0.97577,0.7368,0.9698,0.74044,0.91566,1.11543,0.80959,0.00146896,0.00146896,0.00146896
8,29.9458,1.15914,0.82502,0.80479,0.98653,0.95123,0.97439,0.75209,0.90559,0.80768,0.81435,0.00143595,0.00143595,0.00143595
9,32.8956,1.22911,0.79448,0.81474,0.98502,0.94175,0.98222,0.59392,1.40013,0.96543,0.83176,0.00140295,0.00140295,0.00140295
10,36.1227,1.19781,0.75765,0.81266,0.97995,0.94892,0.98292,0.75383,0.86898,0.7272,0.81159,0.00136994,0.00136994,0.00136994
11,39.2767,1.06722,0.67847,0.80718,0.99377,0.96869,0.98158,0.78502,0.76858,0.6016,0.80984,0.00133693,0.00133693,0.00133693
12,42.4591,1.03092,0.67877,0.80327,0.99217,0.97458,0.98405,0.80341,0.73743,0.51904,0.80246,0.00130393,0.00130393,0.00130393
13,45.5957,1.06772,0.68177,0.80326,0.99616,0.97382,0.98793,0.77949,0.84512,0.52903,0.80554,0.00127092,0.00127092,0.00127092
14,48.7183,1.04829,0.65355,0.7994,0.99309,0.96801,0.97961,0.78238,0.81266,0.49563,0.80577,0.00123791,0.00123791,0.00123791
15,51.8728,0.94107,0.61473,0.79781,0.99927,0.97406,0.98325,0.78757,0.76619,0.49245,0.80319,0.00120491,0.00120491,0.00120491
16,55.2392,0.91439,0.59104,0.80096,0.99759,0.97458,0.98398,0.82815,0.6821,0.45297,0.80145,0.0011719,0.0011719,0.0011719
17,58.34,0.971,0.64921,0.80308,0.99726,0.97458,0.98299,0.81757,0.68334,0.45423,0.80386,0.00113889,0.00113889,0.00113889
18,61.5063,0.86772,0.61319,0.78129,0.99922,0.973,0.98634,0.80698,0.7119,0.421,0.80454,0.00110589,0.00110589,0.00110589
19,64.7414,0.90945,0.59332,0.80437,0.99049,0.97419,0.98459,0.81474,0.67326,0.41716,0.79815,0.00107288,0.00107288,0.00107288
