epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14354,2.84366,4.1614,1.1863,0.00471,0.39036,0.00968,0.00364,1.3939,3.79645,0.85571,0.00031673,0.00031673,0.00031673
2,6.38643,1.72857,1.96225,0.87681,0.01041,0.90611,0.24867,0.15063,1.47394,2.98811,0.84928,0.000642085,0.000642085,0.000642085
3,8.56263,1.46142,1.43748,0.838,0.92797,0.29874,0.60088,0.39373,1.18064,2.04353,0.82647,0.000959188,0.000959188,0.000959188
4,10.7927,1.3481,1.28841,0.82133,0.69046,0.21539,0.63417,0.42715,1.24161,2.05814,0.83324,0.00126804,0.00126804,0.00126804
5,12.9815,1.35814,1.1651,0.83094,0.67027,0.63268,0.74879,0.54493,1.04798,1.31173,0.81954,0.00156864,0.00156864,0.00156864
6,15.0693,1.23881,1.10724,0.82067,0.80597,0.78271,0.89644,0.68174,0.90711,1.22969,0.80888,0.00156385,0.00156385,0.00156385
7,17.111,1.19618,0.97008,0.81012,0.8931,0.86316,0.94702,0.66997,1.03158,0.91317,0.81159,0.00154323,0.00154323,0.00154323
8,19.1303,1.22928,0.93518,0.81511,0.83222,0.75185,0.95491,0.71062,0.95264,0.89724,0.81076,0.0015226,0.0015226,0.0015226
9,21.1695,1.17516,0.87259,0.81844,0.858,0.87126,0.97088,0.76064,0.87035,0.75075,0.81148,0.00150197,0.00150197,0.00150197
10,23.3815,1.08715,0.81046,0.8075,0.95784,0.91747,0.97349,0.7738,0.8386,0.59753,0.8098,0.00148134,0.00148134,0.00148134
11,26.3595,1.06637,0.77822,0.80184,0.95713,0.88257,0.97302,0.76981,0.7772,0.64247,0.80355,0.00146071,0.00146071,0.00146071
12,28.9312,1.0461,0.72781,0.80018,0.95737,0.95066,0.97671,0.7488,0.84731,0.58454,0.80494,0.00144008,0.00144008,0.00144008
13,31.1704,1.03525,0.71672,0.8115,0.9943,0.96566,0.98152,0.7725,0.81462,0.46985,0.80686,0.00141945,0.00141945,0.00141945
14,33.4214,1.02945,0.70506,0.81148,0.98635,0.96227,0.98707,0.80801,0.71932,0.446,0.80475,0.00139882,0.00139882,0.00139882
15,35.5966,1.00934,0.67007,0.80213,0.9671,0.95161,0.98269,0.77841,0.7694,0.49102,0.80854,0.00137819,0.00137819,0.00137819
16,37.6416,0.99914,0.64467,0.78924,0.97457,0.95345,0.98668,0.78199,0.85744,0.51084,0.80598,0.00135756,0.00135756,0.00135756
17,39.7018,1.0201,0.63883,0.79936,0.99109,0.96535,0.98384,0.74347,0.84673,0.45375,0.80714,0.00133693,0.00133693,0.00133693
